Identification Number,Email Address,Survey 1 Total,Survey 2 Total
2161,hwestiii@icloud.com,18,2
2410,attwood@gmail.com,15,13
5744,pkplex@verizon.net,9,10
1202,grdschl@comcast.net,11,15
6309,tmccarth@yahoo.ca,2,2
5906,eurohack@icloud.com,4,3
8602,sravani@me.com,14,12
8142,njpayne@mac.com,7,1
5126,juerd@hotmail.com,19,1
5605,enintend@att.net,9,9
7346,ghost@outlook.com,5,4
8627,jaarnial@yahoo.com,15,12
8292,harryh@mac.com,3,13
4350,weidai@msn.com,0,14
7700,matthijs@mac.com,12,15
7314,martyloo@verizon.net,17,9
7011,fwitness@outlook.com,6,1
7962,tellis@me.com,9,11
4833,burns@me.com,1,8
2557,makarow@gmail.com,6,9
1288,mavilar@mac.com,16,13
6040,cparis@yahoo.com,9,1
4749,squirrel@hotmail.com,20,3
1529,elmer@gmail.com,3,7
7167,madler@outlook.com,20,5
1404,johndo@optonline.net,5,11
9518,yumpy@optonline.net,3,14
4163,juerd@sbcglobal.net,16,4
1403,sonnen@comcast.net,18,11
8100,msroth@sbcglobal.net,13,14
1822,johnbob@gmail.com,12,2
4653,skaufman@gmail.com,5,8
3709,rgarcia@gmail.com,2,13
7949,kiddailey@icloud.com,20,10
1506,oster@sbcglobal.net,11,6
5101,tbmaddux@comcast.net,1,6
9694,bhtower@outlook.com,14,0
8380,gerlo@optonline.net,1,7
3679,fukuchi@me.com,4,5
1944,schumer@msn.com,10,1
2805,hmbrand@msn.com,12,2
2638,gomor@yahoo.com,9,8
2302,louise@gmail.com,2,14
6948,ccohen@mac.com,17,11
7294,jfmulder@sbcglobal.net,6,7
5051,satch@yahoo.com,20,3
9949,bwcarty@optonline.net,2,8
6550,munson@verizon.net,0,3
8390,danzigism@icloud.com,19,2
8644,larry@att.net,18,0
3910,ntegrity@yahoo.com,0,12
9178,afeldspar@yahoo.ca,12,6
3266,staikos@me.com,16,13
7142,keutzer@comcast.net,5,4
6707,skippy@gmail.com,5,15
4763,mhassel@msn.com,9,9
9810,bescoto@gmail.com,19,12
8234,mfburgo@gmail.com,6,2
4059,hoangle@yahoo.ca,5,1
7470,bartlett@optonline.net,10,0
3527,pgottsch@aol.com,6,12
2833,lishoy@yahoo.com,5,15
5565,chaki@gmail.com,11,7
4270,rfoley@hotmail.com,18,10
8526,tromey@optonline.net,5,4
1712,eabrown@outlook.com,3,4
3733,graham@yahoo.ca,7,5
2049,yruan@hotmail.com,14,0
4164,gilmoure@mac.com,3,9
3657,maradine@mac.com,8,14
5282,reeds@yahoo.ca,2,3
7925,mddallara@live.com,10,4
9617,ghost@gmail.com,15,7
7281,harpes@me.com,12,5
5640,johnh@sbcglobal.net,3,11
1642,naupa@yahoo.ca,20,6
1778,mjewell@gmail.com,19,14
6781,kingjoshi@verizon.net,1,7
5973,jsmith@yahoo.com,5,9
9193,wsnyder@yahoo.ca,14,0
1236,bdthomas@verizon.net,9,12
8567,ryanshaw@yahoo.com,14,9
6711,rsmartin@me.com,2,13
2292,emcleod@att.net,8,8
2217,tlinden@aol.com,20,13
2468,tokuhirom@gmail.com,19,14
8267,tokuhirom@hotmail.com,13,5
9569,heine@me.com,18,8
2237,brainless@yahoo.ca,6,15
1323,curly@msn.com,11,10
6031,xnormal@live.com,20,0
4190,dwendlan@optonline.net,19,4
4803,yenya@outlook.com,9,5
9346,drezet@mac.com,6,4
6173,salesgeek@aol.com,15,4
5915,wenzlaff@yahoo.ca,15,6
9159,pkilab@comcast.net,12,14
1995,schumer@optonline.net,15,4
8090,mobileip@att.net,15,4
6330,ullman@comcast.net,18,15
5143,noahb@yahoo.com,6,10
2190,alhajj@verizon.net,7,9
8949,jbearp@live.com,3,2
6524,mccurley@optonline.net,3,9
7089,gemmell@att.net,6,2
1165,jbarta@att.net,1,9
4986,szymansk@hotmail.com,14,9
2465,eabrown@yahoo.ca,11,3
9749,nasarius@yahoo.ca,7,9
6686,maradine@yahoo.ca,9,14
1730,mallanmba@verizon.net,11,11
9584,wainwrig@att.net,14,5
1469,ghaviv@yahoo.ca,2,12
8679,jshirley@att.net,4,0
9761,cumarana@yahoo.ca,3,2
3273,stakasa@hotmail.com,14,7
3848,ivoibs@me.com,4,10
3024,feamster@msn.com,3,6
9199,speeves@mac.com,9,2
9559,grady@aol.com,19,8
1362,mhoffman@att.net,7,13
2333,qrczak@aol.com,14,6
5563,jrkorson@gmail.com,15,13
4411,rsmartin@icloud.com,2,5
7121,mkearl@verizon.net,6,8
8350,wayward@gmail.com,16,7
8562,gemmell@aol.com,18,6
9938,lamky@outlook.com,8,5
7958,wmszeliga@mac.com,1,2
9303,bonmots@gmail.com,18,8
5753,ilikered@comcast.net,1,9
1819,mahbub@verizon.net,8,15
3290,bmcmahon@hotmail.com,16,3
1405,jimxugle@msn.com,15,9
1477,rtanter@msn.com,17,14
6902,yamla@icloud.com,12,2
5785,gommix@verizon.net,10,0
3517,barnett@mac.com,4,9
5521,dprice@live.com,15,3
7524,subir@live.com,9,14
5347,staffelb@aol.com,9,8
9961,vlefevre@me.com,8,14
8106,jugalator@aol.com,20,11
6023,kempsonc@optonline.net,15,12
3981,xtang@live.com,17,11
4410,gastown@yahoo.com,5,9
2437,mbswan@optonline.net,14,7
1689,jpflip@sbcglobal.net,6,1
8084,sblack@msn.com,12,11
1963,qrczak@aol.com,6,0
9256,hedwig@live.com,18,6
7804,gtewari@att.net,12,5
4134,ullman@me.com,2,9
1356,sthomas@att.net,18,7
9885,grossman@yahoo.ca,8,11
5111,koudas@me.com,17,3
9522,bigmauler@comcast.net,16,15
7725,kobayasi@gmail.com,2,6
6243,nanop@hotmail.com,4,10
2623,nighthawk@yahoo.ca,11,4
8609,kohlis@optonline.net,16,13
2701,lukka@verizon.net,8,2
2073,jelmer@live.com,4,4
2086,satch@yahoo.ca,20,11
1831,jbuchana@live.com,1,7
6231,thaljef@me.com,3,3
7999,gbacon@msn.com,19,13
7848,skythe@aol.com,4,7
4140,dgriffith@yahoo.ca,17,4
9455,netsfr@aol.com,11,14
4372,pizza@yahoo.com,2,0
2382,wenzlaff@att.net,8,13
7653,tattooman@aol.com,20,12
8656,mwitte@sbcglobal.net,8,4
2425,ghaviv@att.net,0,12
7784,paulv@verizon.net,3,2
8223,jguyer@yahoo.com,10,10
8222,kidehen@outlook.com,17,12
7554,jkegl@att.net,1,13
6204,noticias@yahoo.ca,1,3
7837,torgox@msn.com,14,13
4295,smartfart@live.com,5,9
4775,stomv@sbcglobal.net,3,1
5687,yruan@att.net,7,14
8412,chrisj@live.com,0,13
6528,privcan@verizon.net,1,0
5297,raides@aol.com,15,0
4055,seurat@icloud.com,14,13
2757,gospodin@msn.com,20,13
4997,peterhoeg@hotmail.com,17,14
3027,carroll@outlook.com,7,5
1162,afeldspar@msn.com,7,1
1999,fluffy@live.com,4,2
3597,chrisk@live.com,15,15
3858,evilopie@yahoo.com,5,5
9957,dowdy@aol.com,18,14
1920,mastinfo@mac.com,19,5
2970,reeds@live.com,4,8
1238,scottzed@yahoo.ca,2,11
7453,cumarana@att.net,19,1
9151,xnormal@aol.com,11,10
9750,vmalik@comcast.net,16,2
6237,kewley@gmail.com,2,10
5761,neonatus@hotmail.com,16,13
8124,eimear@hotmail.com,16,13
6163,ideguy@yahoo.ca,4,8
9783,bartak@outlook.com,1,7
9197,graham@me.com,2,15
5030,devphil@comcast.net,20,4
8858,tubesteak@yahoo.com,18,10
4397,frederic@live.com,17,7
4956,stomv@yahoo.com,18,5
4141,symbolic@mac.com,5,12
6162,noneme@att.net,7,12
8467,wmszeliga@aol.com,17,15
1551,cumarana@outlook.com,3,7
4290,research@comcast.net,10,13
8740,solomon@att.net,12,12
2423,gknauss@yahoo.com,10,2
7926,kildjean@aol.com,20,1
3701,evilopie@att.net,18,4
5199,peterhoeg@gmail.com,11,5
2154,dartlife@outlook.com,19,10
5465,matty@yahoo.ca,11,3
3076,plover@yahoo.com,10,12
3898,grinder@optonline.net,6,7
1931,kosact@yahoo.com,15,14
2694,stecoop@verizon.net,14,9
4448,esasaki@aol.com,0,6
5078,hachi@mac.com,0,1
3021,erynf@icloud.com,5,7
7897,british@icloud.com,7,4
7495,szymansk@icloud.com,2,2
6214,laird@yahoo.com,0,13
2010,scottlee@yahoo.ca,7,2
1042,jandrese@yahoo.com,17,8
7455,kludge@aol.com,6,11
7596,jdray@hotmail.com,7,3
5993,cisugrad@att.net,10,7
3470,jnolan@yahoo.ca,3,12
3978,portele@hotmail.com,17,11
8868,majordick@me.com,20,1
6744,vsprintf@me.com,13,0
9530,breegster@yahoo.com,9,4
4557,weazelman@verizon.net,18,5
8611,bruck@yahoo.com,7,11
4521,johnh@yahoo.com,12,12
1603,graham@verizon.net,18,9
5706,cgcra@hotmail.com,5,12
5617,zeitlin@yahoo.ca,0,13
6612,bachmann@me.com,3,10
1395,dkrishna@sbcglobal.net,15,2
2869,zyghom@me.com,10,4
2768,mcrawfor@sbcglobal.net,7,12
1432,parrt@att.net,10,13
1802,dwsauder@live.com,12,8
3883,choset@icloud.com,6,5
4027,warrior@hotmail.com,1,12
1041,rnelson@gmail.com,11,0
6215,jrifkin@comcast.net,0,14
3561,sarahs@optonline.net,11,12
4994,makarow@yahoo.ca,3,3
9095,grady@yahoo.com,8,12
7481,sthomas@att.net,19,9
8271,chaki@verizon.net,10,3
8033,hauma@sbcglobal.net,2,13
7602,marin@aol.com,11,0
3748,nighthawk@gmail.com,4,4
5227,dprice@yahoo.com,2,0
1967,dgriffith@gmail.com,14,2
6981,kodeman@mac.com,11,7
7701,kuparine@live.com,11,3
6804,floxy@att.net,15,1
3636,oneiros@icloud.com,18,3
9015,jonas@verizon.net,11,8
7822,konst@msn.com,9,2
4249,mcast@sbcglobal.net,7,14
4528,nullchar@mac.com,2,8
9410,khris@me.com,7,8
6434,bolow@hotmail.com,13,6
4001,hahsler@yahoo.com,0,7
7831,sopwith@hotmail.com,18,14
3648,druschel@icloud.com,13,6
3185,malattia@msn.com,12,7
4143,morain@outlook.com,20,15
3509,sethbrown@me.com,19,14
9444,madler@comcast.net,17,7
3057,carreras@msn.com,6,10
4677,luvirini@outlook.com,19,13
1164,hermes@optonline.net,18,2
1723,sarahs@live.com,6,12
6720,marioph@live.com,17,1
8649,agapow@live.com,3,13
8315,hampton@live.com,0,1
4438,mugwump@msn.com,13,11
3287,slanglois@hotmail.com,16,10
8622,jimmichie@yahoo.com,15,7
8208,parksh@mac.com,13,15
1540,harryh@sbcglobal.net,9,3
1549,plover@outlook.com,10,9
3314,skaufman@hotmail.com,19,14
6574,sokol@icloud.com,17,5
2452,eidac@msn.com,6,10
5692,phish@mac.com,18,7
3993,hwestiii@sbcglobal.net,16,6
7390,dalamb@msn.com,7,13
7105,kohlis@me.com,17,13
1478,rattenbt@mac.com,1,3
9368,augusto@yahoo.ca,17,5
9032,naupa@hotmail.com,10,15
8846,fatelk@icloud.com,10,11
7327,shang@gmail.com,6,4
6113,niknejad@outlook.com,17,7
4026,fhirsch@att.net,12,15
2642,speeves@me.com,6,7
8327,guialbu@sbcglobal.net,8,4
9196,stewwy@verizon.net,6,9
7373,galbra@mac.com,7,8
4174,emmanuel@yahoo.com,4,15
5304,fatelk@yahoo.com,20,6
4117,gfxguy@verizon.net,6,6
8070,tellis@msn.com,12,3
4644,dgatwood@verizon.net,20,14
3387,citizenl@verizon.net,14,3
5933,loscar@yahoo.com,14,4
9123,peoplesr@msn.com,20,5
9512,blixem@mac.com,20,8
9402,madler@outlook.com,3,0
6421,nogin@live.com,18,1
2135,aprakash@me.com,18,11
8063,seasweb@msn.com,15,1
8227,corrada@outlook.com,15,15
9554,rmcfarla@icloud.com,12,10
6666,amichalo@sbcglobal.net,2,15
9895,madler@hotmail.com,2,10
7466,forsberg@live.com,8,7
6386,garyjb@msn.com,5,14
3060,kewley@live.com,1,8
8876,drjlaw@verizon.net,5,8
2204,dhrakar@hotmail.com,10,4
5510,cisugrad@live.com,1,6
7907,kuparine@verizon.net,20,8
6500,mstrout@icloud.com,4,10
6978,houle@yahoo.com,14,1
4257,thurston@live.com,0,11
2647,bebing@sbcglobal.net,0,5
7031,engelen@hotmail.com,17,0
8434,rjones@att.net,8,2
3989,parsimony@me.com,12,14
2863,tattooman@comcast.net,11,2
4237,frosal@icloud.com,15,13
1627,horrocks@yahoo.ca,6,12
7891,danny@mac.com,15,6
7908,raides@optonline.net,2,6
3274,bcevc@icloud.com,0,10
2909,empathy@gmail.com,4,6
9211,kobayasi@outlook.com,10,14
9513,jshirley@verizon.net,0,4
2430,msherr@me.com,12,4
7814,heroine@outlook.com,14,12
2559,krueger@sbcglobal.net,8,15
4503,sequin@optonline.net,11,1
7748,dodong@icloud.com,19,10
2650,josem@hotmail.com,17,4
2608,dleconte@me.com,20,7
9962,heine@hotmail.com,12,13
8098,malin@sbcglobal.net,6,9
3523,carmena@live.com,4,13
5724,sblack@att.net,11,0
5048,tristan@icloud.com,16,14
9556,boein@aol.com,9,3
7393,larry@optonline.net,2,11
4600,webdragon@mac.com,15,4
5948,aprakash@att.net,11,10
6211,cumarana@yahoo.com,16,2
2484,wiseb@icloud.com,6,9
3663,firstpr@icloud.com,15,14
6958,phyruxus@live.com,16,7
4893,ivoibs@outlook.com,0,5
9906,pemungkah@aol.com,18,5
5587,ribet@hotmail.com,18,1
9268,nimaclea@comcast.net,19,5
6009,thomasj@hotmail.com,14,12
4046,treit@sbcglobal.net,2,2
2589,akoblin@msn.com,12,9
9381,tskirvin@aol.com,16,7
4363,qrczak@sbcglobal.net,8,0
4704,ullman@icloud.com,2,10
1476,frederic@aol.com,16,0
7652,marioph@live.com,2,10
1857,kalpol@live.com,18,3
2530,duncand@msn.com,11,12
2819,barjam@verizon.net,5,14
5726,dkeeler@hotmail.com,8,5
1910,bolow@outlook.com,2,10
2148,malvar@yahoo.ca,4,4
6557,parasite@yahoo.com,5,3
5361,lushe@gmail.com,4,15
1585,dmouse@aol.com,8,11
3644,iamcal@comcast.net,2,4
1657,ilyaz@msn.com,15,1
4562,improv@msn.com,4,15
1653,sinclair@att.net,3,13
6775,jramio@live.com,0,12
7414,heroine@att.net,4,7
4891,staikos@sbcglobal.net,17,15
9707,dmbkiwi@comcast.net,20,0
4935,jnolan@outlook.com,8,2
1304,podmaster@verizon.net,12,6
8711,linuxhack@outlook.com,4,1
2282,tmccarth@verizon.net,11,1
8895,druschel@live.com,3,14
5851,devphil@yahoo.com,9,13
1075,ebassi@att.net,1,3
3686,josem@icloud.com,15,6
5218,mhouston@msn.com,15,14
4407,carcus@hotmail.com,7,6
1407,jgwang@hotmail.com,4,0
2888,tbeck@att.net,19,15
4998,sravani@comcast.net,1,14
8248,firstpr@att.net,13,5
8623,pemungkah@me.com,18,10
8713,jkegl@verizon.net,18,0
7583,yruan@hotmail.com,1,5
3474,salesgeek@gmail.com,14,1
9970,atmarks@yahoo.com,5,3
8254,sarahs@yahoo.com,13,13
2739,dialworld@yahoo.com,1,3
1844,jfmulder@msn.com,10,5
1025,pontipak@comcast.net,16,9
1806,cmdrgravy@me.com,7,2
8589,jhardin@sbcglobal.net,7,12
2310,ianbuck@optonline.net,17,7
2487,falcao@me.com,13,10
8650,webinc@comcast.net,16,3
2459,dalamb@msn.com,10,4
5451,karasik@msn.com,2,11
6114,smallpaul@live.com,17,5
9849,balchen@outlook.com,7,10
9322,larry@live.com,0,6
9282,chaffar@optonline.net,16,0
3754,tristan@att.net,8,10
4122,iamcal@yahoo.com,19,15
5041,dcoppit@gmail.com,2,2
2075,munjal@hotmail.com,5,3
2494,keiji@msn.com,8,11
8048,ramollin@sbcglobal.net,16,8
2605,bolow@yahoo.ca,14,12
4828,panolex@optonline.net,13,8
7997,mallanmba@msn.com,6,7
3999,rande@live.com,18,1
5018,metzzo@aol.com,5,5
8728,paley@me.com,15,14
3142,andersbr@hotmail.com,2,2
5044,nasarius@sbcglobal.net,5,4
4275,mcsporran@comcast.net,19,4
7740,chrisj@gmail.com,1,6
3834,cgarcia@sbcglobal.net,13,0
6463,kohlis@mac.com,20,4
6708,timtroyr@me.com,2,5
6238,ribet@sbcglobal.net,20,12
9907,matsn@icloud.com,16,0
6014,mddallara@gmail.com,13,10
2334,nighthawk@hotmail.com,1,0
8439,matloff@optonline.net,13,2
8312,ardagna@sbcglobal.net,15,6
6696,jsbach@comcast.net,16,2
3023,balchen@icloud.com,20,13
2170,munge@live.com,5,10
6889,agapow@yahoo.ca,13,13
6644,formis@icloud.com,7,12
3940,stecoop@msn.com,2,2
3610,jginspace@msn.com,14,14
5795,mhassel@aol.com,17,11
1498,dburrows@verizon.net,20,10
8902,jfinke@comcast.net,3,2
5651,sartak@yahoo.ca,2,4
1043,szymansk@live.com,12,15
5024,ninenine@aol.com,6,8
7736,snunez@optonline.net,17,14
8173,garland@msn.com,0,6
9407,kobayasi@outlook.com,3,7
5215,quantaman@sbcglobal.net,15,10
7662,dbrobins@mac.com,13,8
6010,klaudon@outlook.com,10,14
8771,subir@yahoo.ca,3,12
4386,leslie@live.com,4,12
7911,rupak@sbcglobal.net,14,2
6256,spadkins@optonline.net,7,1
2007,smpeters@mac.com,5,9
1764,keutzer@verizon.net,5,4
5165,hager@mac.com,19,5
5632,hauma@yahoo.ca,18,0
7333,ducasse@mac.com,13,2
7372,yangyan@live.com,7,13
3512,thomasj@yahoo.com,20,7
2481,bastian@verizon.net,5,14
1980,kaiser@optonline.net,18,2
1257,dprice@msn.com,11,9
5756,granboul@outlook.com,4,0
5352,british@verizon.net,8,6
9622,imightb@hotmail.com,14,1
3528,heine@mac.com,2,7
5749,gboss@yahoo.ca,3,14
5449,airship@gmail.com,16,5
5454,aibrahim@me.com,15,5
7276,jschauma@verizon.net,19,0
8494,report@yahoo.com,19,9
5092,mddallara@optonline.net,8,0
6181,sopwith@sbcglobal.net,20,5
1194,mcraigw@sbcglobal.net,10,2
9092,psharpe@optonline.net,4,12
4311,calin@hotmail.com,13,3
9126,shaffei@me.com,18,5
6004,dwendlan@live.com,11,10
6210,thassine@att.net,6,5
2440,pthomsen@yahoo.ca,10,15
5645,rfisher@verizon.net,16,15
5710,josephw@att.net,4,2
3536,rohitm@sbcglobal.net,13,6
1889,qrczak@att.net,16,14
3557,cgarcia@sbcglobal.net,18,9
9618,barlow@mac.com,4,7
6674,bflong@att.net,0,2
9726,afeldspar@live.com,3,12
1977,wbarker@aol.com,12,11
1263,msherr@comcast.net,7,10
9826,fatelk@msn.com,16,3
7570,aprakash@aol.com,13,3
6441,pemungkah@gmail.com,7,6
4089,rhialto@aol.com,11,11
2291,hoangle@comcast.net,0,15
3465,dwheeler@optonline.net,18,15
4720,mastinfo@att.net,7,4
8366,mrdvt@icloud.com,0,6
6050,shazow@outlook.com,14,14
9264,devphil@msn.com,13,9
2373,seasweb@mac.com,8,1
1851,flakeg@msn.com,0,1
8533,bahwi@icloud.com,6,4
5898,gastown@msn.com,7,12
7820,sthomas@sbcglobal.net,3,7
6545,djpig@msn.com,6,1
4599,paulv@verizon.net,17,12
7298,jbarta@mac.com,11,0
9281,sequin@icloud.com,7,11
8281,froodian@verizon.net,15,1
9471,mosses@comcast.net,3,8
9320,north@outlook.com,16,3
2451,pdbaby@msn.com,20,2
1192,sjmuir@me.com,6,5
1989,scarolan@mac.com,13,5
5027,jfreedma@gmail.com,14,2
9582,singh@outlook.com,18,7
3809,bastian@yahoo.ca,0,9
2989,ghaviv@comcast.net,3,0
1682,howler@att.net,19,8
7277,khris@outlook.com,11,4
4535,kosact@att.net,11,7
5032,zyghom@msn.com,11,13
7809,mhassel@optonline.net,12,14
5636,smpeters@sbcglobal.net,0,7
5151,whimsy@hotmail.com,11,8
8614,solomon@msn.com,3,15
1256,vlefevre@hotmail.com,7,8
7743,esokullu@yahoo.com,15,0
4167,kenja@comcast.net,9,4
1124,johnh@hotmail.com,12,14
3380,ilyaz@att.net,12,11
8245,dkrishna@aol.com,15,9
9911,balchen@comcast.net,13,7
4230,jaesenj@yahoo.ca,18,9
2925,dhwon@optonline.net,10,2
5202,benits@yahoo.com,16,11
4526,marcs@icloud.com,18,9
5685,budinger@icloud.com,9,11
6935,gslondon@yahoo.com,20,15
8794,dodong@comcast.net,7,15
8362,breegster@outlook.com,19,0
6956,lstein@optonline.net,4,14
8883,mobileip@live.com,12,7
6848,froodian@att.net,17,7
8179,debest@msn.com,17,0
4347,amimojo@optonline.net,14,9
4221,caidaperl@yahoo.com,6,0
5298,cvrcek@aol.com,6,13
2426,rkobes@hotmail.com,15,12
9077,sinclair@verizon.net,10,8
6234,alhajj@sbcglobal.net,4,14
1927,preneel@mac.com,18,0
3009,paulv@optonline.net,6,3
7160,cisugrad@gmail.com,6,14
9666,amichalo@me.com,9,7
9202,squirrel@comcast.net,2,7
2902,samavati@live.com,11,2
9629,crypt@icloud.com,11,3
1816,mhouston@optonline.net,16,1
9939,jbailie@me.com,8,1
1502,rgarcia@verizon.net,15,10
4748,krueger@yahoo.com,15,10
7039,ilial@msn.com,17,1
6467,majordick@optonline.net,5,1
7987,quinn@yahoo.ca,6,15
7131,oechslin@optonline.net,14,15
7323,burniske@yahoo.ca,1,7
6799,ingolfke@verizon.net,13,6
7674,yzheng@icloud.com,11,10
7153,smcnabb@msn.com,9,1
4702,jmcnamara@yahoo.ca,6,7
1850,dobey@gmail.com,8,2
1987,jemarch@optonline.net,20,2
4966,noneme@att.net,13,0
5729,pgottsch@yahoo.com,14,15
3508,falcao@live.com,11,1
4463,feamster@me.com,15,3
7947,campbell@msn.com,9,10
8538,denton@gmail.com,10,5
6082,ilial@me.com,7,8
1342,rkobes@hotmail.com,2,14
9409,lstein@mac.com,18,12
2347,sonnen@outlook.com,1,13
8857,bebing@me.com,1,5
5188,podmaster@comcast.net,19,13
4813,farber@mac.com,5,0
7654,hager@att.net,19,10
1271,jbuchana@optonline.net,7,12
9864,martyloo@sbcglobal.net,18,9
3135,kewley@sbcglobal.net,7,10
3203,flakeg@yahoo.com,5,4
1291,hmbrand@sbcglobal.net,6,7
6926,seanq@outlook.com,1,1
1212,mfburgo@msn.com,14,4
3520,starstuff@att.net,19,3
5529,nanop@msn.com,17,3
2845,biglou@optonline.net,14,3
3414,lstaf@yahoo.com,8,8
7843,maratb@verizon.net,20,14
9858,tromey@icloud.com,6,9
9323,kevinm@verizon.net,8,1
1225,jfmulder@icloud.com,4,4
5479,jorgb@live.com,1,9
3254,codex@comcast.net,2,1
3624,arathi@outlook.com,18,4
1028,madanm@yahoo.com,12,1
5857,garland@optonline.net,6,1
9216,darin@outlook.com,3,1
5168,mrobshaw@aol.com,20,1
5527,jmcnamara@sbcglobal.net,18,14
6997,heidrich@comcast.net,2,10
4567,andrei@icloud.com,12,7
6301,itstatus@yahoo.com,6,7
5886,fmerges@att.net,18,12
8850,gfody@aol.com,18,5
4273,quinn@sbcglobal.net,3,10
6611,gospodin@msn.com,6,0
1089,henkp@icloud.com,20,8
4023,yfreund@yahoo.com,17,13
2186,errxn@icloud.com,12,13
4493,fudrucker@outlook.com,5,3
6909,bsikdar@icloud.com,1,13
9998,teverett@outlook.com,0,6
7703,eminence@icloud.com,1,2
5005,dbanarse@optonline.net,10,3
4205,timtroyr@me.com,0,8
9359,earmstro@verizon.net,6,0
5763,aardo@att.net,10,13
3678,scato@msn.com,8,6
7435,ganter@yahoo.com,19,4
9842,pgottsch@comcast.net,18,10
1991,szymansk@comcast.net,20,3
6768,dgatwood@att.net,6,2
9333,cliffski@aol.com,12,12
3452,multiplx@yahoo.com,7,5
9647,afeldspar@outlook.com,15,8
3249,evilopie@icloud.com,16,3
4254,dbanarse@yahoo.ca,1,1
9406,bogjobber@att.net,0,10
3541,dgatwood@me.com,11,13
1968,janneh@gmail.com,12,14
8873,ralamosm@comcast.net,10,2
2308,dbrobins@gmail.com,19,6
4566,murdocj@aol.com,4,0
1267,sharon@verizon.net,3,5
4766,purvis@aol.com,6,6
2089,kwilliams@aol.com,5,10
4782,rhavyn@yahoo.ca,7,8
8345,debest@gmail.com,20,5
5224,gbacon@verizon.net,4,3
1521,augusto@me.com,12,8
1187,gravyface@comcast.net,14,2
2357,campbell@mac.com,17,9
6212,rasca@icloud.com,2,2
3816,fatelk@yahoo.ca,2,7
8720,sinkou@verizon.net,14,3
9476,mkearl@aol.com,2,4
4393,epeeist@sbcglobal.net,6,2
2693,jnolan@gmail.com,7,15
3075,jamuir@att.net,18,15
6755,saridder@icloud.com,14,5
5350,atmarks@me.com,12,9
7187,jpflip@verizon.net,9,15
8842,rasca@verizon.net,10,7
5868,chrisj@yahoo.com,11,6
3903,paley@yahoo.com,10,10
4242,jemarch@mac.com,7,8
2588,drezet@sbcglobal.net,10,13
3485,durist@msn.com,12,4
2948,dartlife@optonline.net,2,5
2844,marcs@me.com,0,5
5776,gastown@att.net,3,8
5098,kmiller@att.net,5,8
5411,noahb@me.com,8,14
4418,heroine@icloud.com,13,13
6468,mcnihil@aol.com,9,14
7417,catalog@hotmail.com,4,0
6326,twoflower@outlook.com,17,3
2084,boftx@me.com,15,3
7145,parkes@hotmail.com,2,5
4231,bdthomas@gmail.com,14,4
9534,lbaxter@me.com,0,2
7125,carcus@att.net,17,11
8202,fmerges@comcast.net,7,11
9119,stecoop@att.net,16,13
7049,stinson@yahoo.com,16,8
7060,sequin@me.com,15,15
1495,lamky@mac.com,18,6
1661,jaffe@outlook.com,9,8
6333,helger@att.net,19,15
1924,rgiersig@live.com,10,0
1496,esokullu@optonline.net,2,5
3980,tattooman@sbcglobal.net,1,6
5394,cvrcek@icloud.com,11,5
8075,jfriedl@mac.com,5,0
4707,stern@icloud.com,18,0
4123,jdhedden@live.com,2,2
9099,lbecchi@aol.com,9,14
3901,uncled@yahoo.ca,17,11
1538,sokol@hotmail.com,18,6
1311,aglassis@msn.com,10,9
7678,ajlitt@hotmail.com,17,11
2312,henkp@mac.com,6,4
5322,milton@gmail.com,12,4
5287,barlow@verizon.net,9,1
8430,studyabr@yahoo.com,15,6
7709,erynf@sbcglobal.net,15,3
3196,jeffcovey@msn.com,19,2
2482,panolex@gmail.com,13,12
3567,sinclair@comcast.net,0,1
5354,rcwil@msn.com,7,7
1670,grothoff@comcast.net,0,6
9913,suresh@live.com,17,2
8725,mrsam@yahoo.ca,15,2
1436,pontipak@live.com,2,7
4980,wbarker@icloud.com,16,3
2903,petersko@yahoo.com,9,11
7771,dinther@hotmail.com,6,15
8249,anicolao@gmail.com,15,12
5289,stevelim@yahoo.ca,20,11
9820,pkplex@comcast.net,10,7
4355,cvrcek@live.com,9,8
4112,rcwil@live.com,14,3
5929,jeffcovey@msn.com,2,0
8510,nicktrig@outlook.com,10,10
5466,eminence@aol.com,2,2
4139,jonadab@me.com,14,2
7691,mosses@att.net,20,8
4740,hedwig@me.com,2,7
8204,hermanab@yahoo.ca,3,11
3258,sethbrown@optonline.net,19,11
6903,knorr@yahoo.ca,19,4
5398,chlim@mac.com,19,11
1887,rafasgj@comcast.net,18,10
3377,dprice@me.com,20,6
4293,mfburgo@yahoo.ca,11,9
2878,mchugh@att.net,20,0
9515,agolomsh@att.net,14,14
3482,netsfr@comcast.net,19,4
1231,seasweb@yahoo.com,9,10
4166,mwandel@sbcglobal.net,6,10
9702,jonadab@verizon.net,8,11
9445,crowemojo@yahoo.ca,8,15
5939,jonathan@mac.com,16,9
7480,baveja@optonline.net,11,6
9041,emmanuel@outlook.com,8,5
5483,jbailie@optonline.net,12,8
8957,fallorn@mac.com,19,0
6148,mallanmba@yahoo.com,10,14
3742,rfoley@att.net,17,12
9383,keutzer@icloud.com,7,5
6929,majordick@msn.com,7,9
6559,nichoj@yahoo.ca,5,9
5665,majordick@mac.com,20,9
7857,wonderkid@comcast.net,9,4
9624,jimmichie@outlook.com,3,8
8663,geeber@mac.com,12,12
